ause,bvi_std_mean,calibrated_coverage_95,calibrated_coverage_error,calibrated_gaussian_crps,calibrated_gaussian_nll,calibrated_mpiw_95,calibrated_sample_quantile_coverage_95,calibration_scale,components,coverage_95,crps,data_misfit,ensemble_dispersion_scale,epsilon_mae,epsilon_rmse,event_auprc,event_auroc,event_brier,event_ece,event_prevalence,final_objective,gaussian_nll,global_index,mc_dropout_dispersion_scale,method,mixture_effective_components,mixture_max_weight,model_name,mpiw_95,neural_center,noise_std,normalized_rmse,physics_evaluations,posterior_mean_alpha,posterior_mean_line_search,posterior_mean_policy,posterior_mean_projection_max_error,posterior_mean_selected_label,posterior_precision_condition,posterior_precision_data_trace,posterior_sample_std_mean,posterior_std_prior_actual_mean,posterior_std_prior_requested_mean,posterior_std_prior_scale,sample_quantile_coverage_95,snr_db,split,stage_line_search_gains,stage_line_search_objectives,stage_new_weights,std_error_spearman,trust_std,view,wall_seconds
0.015506865484368278,,0.9702606201171875,0.020260620117187544,0.048223812542352584,-1.0055245222411044,0.45071089543850723,0.9679107666015625,1.912344593926287,0,0.8726806640625,0.04656199251272626,0.1824461668729782,,0.5151180006123113,0.7303561427745277,0.7066746021909587,0.8939356427790004,0.013034015893936157,0.04253554344177246,0.02252197265625,2.0422542095184326,-0.6954398493312504,923,,residual_laplace,,,model_924.mat,0.23568497914757547,,,0.09129451784681596,31,,,,,,2.5415475727768286,18.52132560328261,,,,,0.866058349609375,5.0,test,,,,0.5206802180540921,0.03,mixed_5db,21.23814082145691
0.012283120556059334,0.09780220687389374,0.940948486328125,0.009051513671874956,0.04756794855941341,-1.142631411345023,0.2879430828382984,0.8874359130859375,0.8191470054346994,2,0.9638824462890625,0.04788729875761253,0.16426154971122742,1.8,0.561680064242676,0.7257867747557853,0.8937269122922253,0.9616733328002964,0.010025640949606895,0.04963088035583496,0.02252197265625,1.9424831867218018,-1.1525943741653628,923,7.5,neural_bvi,1.0,1.0,model_924.mat,0.351515760819384,ensemble_calibrated,0.09154271334409714,0.09072334684447317,37,0.0,"[{""label"": ""reference_ensemble_mean"", ""alpha"": null, ""data_rmse"": 0.17215962707996368}, {""label"": ""center"", ""alpha"": 0.0, ""data_rmse"": 0.16426169872283936}, {""label"": ""bvi_alpha_0.025"", ""alpha"": 0.025, ""data_rmse"": 0.16433760523796082}, {""label"": ""bvi_alpha_0.05"", ""alpha"": 0.05, ""data_rmse"": 0.1644240766763687}, {""label"": ""bvi_alpha_0.1"", ""alpha"": 0.1, ""data_rmse"": 0.16454805433750153}, {""label"": ""bvi_alpha_0.2"", ""alpha"": 0.2, ""data_rmse"": 0.164702370762825}]",physics_line_search,1.7881393432617188e-07,center,,,0.07548489421606064,0.08967238664627075,0.08967238664627075,0.75,0.929931640625,5.0,test,"[0.0, 0.10208654403686523]","[1.8450607918202877, 1.9424831867218018]","[1.0, 1.0]",0.5892458594526992,0.03,mixed_5db,37.08698892593384
,,,,,,,,,,,,0.17125485837459564,,0.5121961832046509,0.7092354893684387,,,,,,,,923,,nn,,,model_924.mat,,,,0.08865443617105484,1,,,,,,,,,,,,,10.0,test,,,,,,mixed_10db,0.5094749927520752
0.0180522219122914,,0.9425811767578125,0.007418823242187456,0.04555651840894402,-1.1437985623475813,0.33243216572096507,0.920867919921875,7.976083234617511,,0.173370361328125,0.05922281975473941,0.17104342579841614,,0.5172315139031525,0.71137420086503,0.745930550283294,0.9223172434463964,0.006566128200954861,0.0060760498046875016,0.02252197265625,,30.982025670486603,923,,mc_dropout,,,model_924.mat,0.0416786229276821,,,0.08892177510812875,1,,,,,,,,,,,,0.1607513427734375,10.0,test,,,,0.32963960558658617,,mixed_10db,0.7808988094329834
0.023581595014306057,,0.9017333984375,0.048266601562499956,0.051499207311739945,-0.8765358397174605,0.3800828477021003,0.7580718994140625,4.708565913660769,,0.2916107177734375,0.0625030490062079,0.1590302586555481,,0.5700611679286793,0.7122068141251539,0.8967002876626696,0.9673762719909434,0.0039129638671875,0.002035522460937499,0.02252197265625,,13.321963063904324,923,,deep_ensemble,,,model_924.mat,0.08072157315228692,,,0.08902585176564423,1,,,,,,,,,,,,0.2159271240234375,10.0,test,,,,0.21210625682453985,,mixed_10db,0.6077582836151123
,,,,,,,,,0,,,0.16707482933998108,,0.5190389752388,0.7169122099876404,,,,,,5.430909156799316,,923,,residual_map,,,model_924.mat,,,,0.08961402624845505,7,,,,,,1.0,0.0,,,,,,10.0,test,,,,,0.03,mixed_10db,7.659900903701782
0.015240579224749409,,0.94708251953125,0.0029174804687499556,0.04617236376907807,-1.047918091844352,0.36660504191924087,0.9415283203125,1.912344593926287,0,0.796905517578125,0.04720528667328856,0.168330579996109,,0.5174488296662059,0.7142715644484092,0.7223791681863232,0.897176602093058,0.009950663894414902,0.026633024215698242,0.02252197265625,5.430881977081299,-0.24986581509258587,923,,residual_laplace,,,model_924.mat,0.19170448839834153,,,0.08928394555605115,31,,,,,,4.170626907729655,53.86881918616677,,,,,0.7824859619140625,10.0,test,,,,0.5055883823057536,0.03,mixed_10db,21.1601779460907
0.011564910445570028,0.09123745560646057,0.931884765625,0.018115234374999956,0.0472181915402669,-1.1547818828622542,0.2709492512814442,0.8211517333984375,0.8191470054346994,2,0.9740447998046875,0.04775103287904634,0.15256711840629578,1.8,0.5550433993646333,0.7000504945128455,0.9026468710438172,0.9701893740370435,0.008317705243825912,0.0367121696472168,0.02252197265625,4.703055381774902,-1.179968722903426,923,7.5,neural_bvi,1.0,1.0,model_924.mat,0.3307699954755481,ensemble_calibrated,0.051478251814842224,0.08750631181410569,37,0.0,"[{""label"": ""reference_ensemble_mean"", ""alpha"": null, ""data_rmse"": 0.1590302586555481}, {""label"": ""center"", ""alpha"": 0.0, ""data_rmse"": 0.1525668203830719}, {""label"": ""bvi_alpha_0.025"", ""alpha"": 0.025, ""data_rmse"": 0.15247395634651184}, {""label"": ""bvi_alpha_0.05"", ""alpha"": 0.05, ""data_rmse"": 0.1524413526058197}, {""label"": ""bvi_alpha_0.1"", ""alpha"": 0.1, ""data_rmse"": 0.15238961577415466}, {""label"": ""bvi_alpha_0.2"", ""alpha"": 0.2, ""data_rmse"": 0.15227195620536804}]",physics_line_search,1.7881393432617188e-07,center,,,0.06941970437765121,0.08438010513782501,0.08438010513782501,0.75,0.91448974609375,10.0,test,"[0.0, 0.0]","[4.857539638876915, 4.703055381774902]","[1.0, 0.0]",0.5605853270529352,0.03,mixed_10db,37.13749384880066
,,,,,,,,,,,,0.20846953988075256,,0.38073769211769104,0.5149121284484863,,,,,,,,981,,nn,,,model_982.mat,,,,0.06436401605606079,1,,,,,,,,,,,,,0.0,test,,,,,,mixed_0db,0.4983558654785156
0.0131693081724509,,0.8400421142578125,0.10995788574218746,0.036472523447469034,-0.768358755233316,0.32561560354207875,0.8351593017578125,7.976083234617511,,0.2027130126953125,0.04274879043968533,0.20753547549247742,,0.3820387433625645,0.5146830159047904,0.921768380402983,0.9647979772025697,0.004280565049913194,0.0038146972656250026,0.0303192138671875,,71.94216832762818,981,,mc_dropout,,,model_982.mat,0.04082399768870257,,,0.0643353769880988,1,,,,,,,,,,,,0.172210693359375,0.0,test,,,,0.3029300685291403,,mixed_0db,0.799191951751709
